업소명,소재지(도로명),소재지(지번),소재지전화,데이터기준일자
태인베이커리,전북특별자치도 정읍시 태인면 태인로 29-1,전북특별자치도 정읍시 태인면 태성리 528 ,063-534-0602,2025-07-01
대풍제과,전북특별자치도 정읍시 수성2로 14 (수성동),전북특별자치도 정읍시 수성동 929-5 ,063-535-6452,2025-07-01
그린베이커리,전북특별자치도 정읍시 천변로 234 (시기동),전북특별자치도 정읍시 시기동 413-16 ,063-537-2901,2025-07-01
뚜레쥬르정읍상동점,전북특별자치도 정읍시 상동중앙로 49 (상동),전북특별자치도 정읍시 상동 315-23 ,063-531-8205,2025-07-01
파리바게뜨정읍제일점,전북특별자치도 정읍시 조곡천1길 84 (시기동),전북특별자치도 정읍시 시기동 185-7 ,063-531-0140,2025-07-01
김지운 제과점,전북특별자치도 정읍시 충정로 99 (상동),전북특별자치도 정읍시 상동 319-4 ,063-531-8928,2025-07-01
정읍수성점파리바게뜨,전북특별자치도 정읍시 수성로 44 (수성동),전북특별자치도 정읍시 수성동 1040-5 ,,2025-07-01
배스킨라빈스 정읍수성점,전북특별자치도 정읍시 중앙로 115 (수성동),전북특별자치도 정읍시 수성동 558-51 ,063-533-8931,2025-07-01
파리바게트터미널점,전북특별자치도 정읍시 연지1길 58 (연지동),전북특별자치도 정읍시 연지동 338-38 ,,2025-07-01
짱 베이커리,전북특별자치도 정읍시 연지3길 184 (연지동),전북특별자치도 정읍시 연지동 506-151 ,063-538-3456,2025-07-01
파리바게뜨(정읍에이스점),전북특별자치도 정읍시 학산로 112-4 (상동),전북특별자치도 정읍시 상동 244 ,,2025-07-01
제이엘 제과점,전북특별자치도 정읍시 학산로 120 (상동),전북특별자치도 정읍시 상동 239-3 ,063-536-4300,2025-07-01
쁘띠 르뽀미에,전북특별자치도 정읍시 벚꽃로 85 (농소동),전북특별자치도 정읍시 농소동 446-1 ,,2025-07-01
아미앙스 베이커리,"전북특별자치도 정읍시 중앙로 44, 1층 (연지동)",전북특별자치도 정읍시 연지동 49-10 ,063-537-0484,2025-07-01
파리바게트상동점,전북특별자치도 정읍시 상동중앙로 45 (상동),전북특별자치도 정읍시 상동 312-1 ,063-531-8279,2025-07-01
하나로베이커리,전북특별자치도 정읍시 신태인읍 서태길 56-3,전북특별자치도 정읍시 신태인읍 신태인리 228-1 ,063-571-6991,2025-07-01
뚜레쥬르 카페 정읍수성점,전북특별자치도 정읍시 수성택지5길 24-8 (수성동),전북특별자치도 정읍시 수성동 934-1 ,063-532-0949,2025-07-01
하나로베이커리시기점,전북특별자치도 정읍시 시기1길 3 (시기동),전북특별자치도 정읍시 시기동 60-1 ,,2025-07-01
프랑스제과점,"전북특별자치도 정읍시 신경2길 25, 1층 (상동)",전북특별자치도 정읍시 상동 222-2 ,,2025-07-01
하나로베이커리,"전북특별자치도 정읍시 수성택지5길 24-6, 하나로마트 (수성동)",전북특별자치도 정읍시 수성동 934-15 하나로마트 ,,2025-07-01
누룩제빵소 카페 3호점,전북특별자치도 정읍시 정읍사로 560 (시기동),전북특별자치도 정읍시 시기동 67-4 ,,2025-07-01
여우성 케익타운 2호점,"전북특별자치도 정읍시 명덕1길 64, 정읍산림조합 (수성동)",전북특별자치도 정읍시 수성동 280-10 정읍산림조합 ,,2025-07-01
하나로 베이커리,"전북특별자치도 정읍시 명덕로 25, 농협하나로마트 (연지동)",전북특별자치도 정읍시 연지동 341-9 농협하나로마트 ,,2025-07-01
이브아 베이커리,전북특별자치도 정읍시 신경2길 9 (상동),전북특별자치도 정읍시 상동 274-48 ,,2025-07-01
파리바게뜨 샘골농협점,"전북특별자치도 정읍시 북면 칠북로 109, 샘골농협 하나로마트 1층",전북특별자치도 정읍시 북면 한교리 67-1 샘골농협 하나로마트 ,,2025-07-01
하나로 베이커리 학산로점,전북특별자치도 정읍시 학산로 89-19 (상동),전북특별자치도 정읍시 상동 86 ,,2025-07-01
